video,category,scene,prompt,mean_iou,median_iou,n_frames,n_failed
0001-handfan1,handfan,,handfan,0.567,0.4744,8,0
0002-handfan2,handfan,,handfan,0.9319,0.9596,8,0
0003-handfan3,handfan,,handfan,0.3639,0.3162,8,0
0004-handfan4,handfan,,handfan,0.735,0.7363,8,0
0005-handfan5_scene01,handfan,01,handfan,0.9517,0.9529,8,0
0005-handfan5_scene02,handfan,02,handfan,0.8216,0.7935,8,0
0006-sunglasses1_scene01,sunglasses,01,sunglasses,0.4885,0.6326,8,0
0006-sunglasses1_scene02,sunglasses,02,sunglasses,0.3714,0.3427,8,0
0007-sunglasses2,sunglasses,,sunglasses,0.2607,0.2037,8,0
0008-sunglasses3,sunglasses,,sunglasses,0.1576,0.09,8,0
0009-sunglasses4_scene01,sunglasses,01,sunglasses,0.9048,0.9476,8,0
0009-sunglasses4_scene02,sunglasses,02,sunglasses,0.944,0.9597,8,0
0009-sunglasses4_scene03,sunglasses,03,sunglasses,0.7682,0.8225,8,0
0009-sunglasses4_scene04,sunglasses,04,sunglasses,0.926,0.9302,8,0
0009-sunglasses4_scene05,sunglasses,05,sunglasses,0.8005,0.7994,8,0
0009-sunglasses4_scene06,sunglasses,06,sunglasses,0.8583,0.8634,8,0
0009-sunglasses4_scene07,sunglasses,07,sunglasses,0.9306,0.929,8,0
0010-sunglasses5_scene01,sunglasses,01,sunglasses,0.3237,0.2179,8,0
0010-sunglasses5_scene02,sunglasses,02,sunglasses,0.0473,0.0,8,0
0010-sunglasses5_scene03,sunglasses,03,sunglasses,0.4303,0.3588,8,0
0010-sunglasses5_scene04,sunglasses,04,sunglasses,0.4119,0.3129,8,0
0011-handbag1_scene01,handbag,01,handbag,0.9475,0.9756,8,0
0011-handbag1_scene02,handbag,02,handbag,0.9672,0.9702,8,0
0011-handbag1_scene03,handbag,03,handbag,0.8902,0.903,8,0
0012-handbag2,handbag,,handbag,0.283,0.1346,8,0
0013-handbag3_scene01,handbag,01,handbag,0.9267,0.9267,2,6
0013-handbag3_scene02,handbag,02,handbag,0.0,0.0,0,8
0013-handbag3_scene03,handbag,03,handbag,0.0,0.0,0,8
0014-handbag4,handbag,,handbag,0.5172,0.496,8,0
0015-handbag5,handbag,,handbag,0.9438,0.9519,8,0
0016-purse1,purse,,purse,0.4749,0.459,8,0
0017-purse2,purse,,purse,0.5423,0.5234,8,0
0018-purse3_scene01,purse,01,purse,0.8496,0.85,8,0
0018-purse3_scene02,purse,02,purse,0.8884,0.8679,8,0
0019-bracelet1,bracelet,,bracelet,0.4354,0.4384,8,0
0020-bracelet2_scene01,bracelet,01,bracelet,0.3463,0.3195,8,0
0020-bracelet2_scene02,bracelet,02,bracelet,0.5758,0.4815,8,0
0021-bracelet3,bracelet,,bracelet,0.9175,0.9132,8,0
0022-bracelet4,bracelet,,bracelet,0.2242,0.0943,8,0
0023-bracelet5,bracelet,,bracelet,0.3679,0.3276,8,0
0024-bracelet6_scene01,bracelet,01,bracelet,0.7972,0.7841,8,0
0024-bracelet6_scene02,bracelet,02,bracelet,0.6996,0.671,8,0
0025-bracelet7_scene01,bracelet,01,bracelet,0.8895,0.8914,8,0
0025-bracelet7_scene02,bracelet,02,bracelet,0.8674,0.8677,8,0
0025-bracelet7_scene03,bracelet,03,bracelet,0.8793,0.8858,8,0
0025-bracelet7_scene04,bracelet,04,bracelet,0.8687,0.8741,8,0
0026-bracelet8_scene01,bracelet,01,bracelet,0.9599,0.9629,8,0
0026-bracelet8_scene02,bracelet,02,bracelet,0.5977,0.5564,8,0
0026-bracelet8_scene03,bracelet,03,bracelet,0.8717,0.9143,8,0
0027-bracelet9,bracelet,,bracelet,0.092,0.0,8,0
0028-bracelet10,bracelet,,bracelet,0.1565,0.0022,8,0
0029-earring1,earring,,earring,0.5287,0.5719,8,0
0030-earring2,earring,,earring,0.3029,0.2704,8,0
0031-earring3_scene01,earring,01,earring,0.2253,0.169,8,0
0031-earring3_scene02,earring,02,earring,0.1494,0.099,8,0
0031-earring3_scene03,earring,03,earring,0.1568,0.0138,8,0
0031-earring3_scene04,earring,04,earring,0.0612,0.0189,8,0
0032-earring4,earring,,earring,0.3942,0.3234,8,0
0033-earring5,earring,,earring,0.0775,0.0,8,0
0034-necklace1,necklace,,necklace,0.0583,0.0423,8,0
0035-necklace2,necklace,,necklace,0.1201,0.128,8,0
0036-necklace3_scene01,necklace,01,necklace,0.8277,0.8216,8,0
0036-necklace3_scene02,necklace,02,necklace,0.8073,0.8182,8,0
0036-necklace3_scene03,necklace,03,necklace,0.8701,0.8824,8,0
0036-necklace3_scene04,necklace,04,necklace,0.7245,0.7354,8,0
0037-necklace4,necklace,,necklace,0.1351,0.1247,8,0
