video,category,scene,frame_idx,time,gt_frame,gt_path,prompt,frame_path
0001-handfan1,handfan,,0,0.2084,27,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00028.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_00.jpg
0001-handfan1,handfan,,1,0.6251,81,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00082.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_01.jpg
0001-handfan1,handfan,,2,1.0419,135,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00136.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_02.jpg
0001-handfan1,handfan,,3,1.4586,189,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00190.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_03.jpg
0001-handfan1,handfan,,4,1.8754,244,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00245.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_04.jpg
0001-handfan1,handfan,,5,2.2921,298,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00299.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_05.jpg
0001-handfan1,handfan,,6,2.7089,352,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00353.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_06.jpg
0001-handfan1,handfan,,7,3.1256,406,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0001-handfan1/00407.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0001-handfan1/frame_07.jpg
0002-handfan2,handfan,,0,0.2031,5,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00006.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_00.jpg
0002-handfan2,handfan,,1,0.6094,14,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00015.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_01.jpg
0002-handfan2,handfan,,2,1.0156,24,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00025.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_02.jpg
0002-handfan2,handfan,,3,1.4219,34,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00035.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_03.jpg
0002-handfan2,handfan,,4,1.8281,43,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00044.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_04.jpg
0002-handfan2,handfan,,5,2.2344,53,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00054.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_05.jpg
0002-handfan2,handfan,,6,2.6406,63,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00064.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_06.jpg
0002-handfan2,handfan,,7,3.0469,72,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0002-handfan2/00073.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0002-handfan2/frame_07.jpg
0003-handfan3,handfan,,0,0.2084,23,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00024.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_00.jpg
0003-handfan3,handfan,,1,0.6251,70,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00071.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_01.jpg
0003-handfan3,handfan,,2,1.0419,117,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00118.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_02.jpg
0003-handfan3,handfan,,3,1.4586,164,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00165.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_03.jpg
0003-handfan3,handfan,,4,1.8754,210,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00211.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_04.jpg
0003-handfan3,handfan,,5,2.2921,257,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00258.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_05.jpg
0003-handfan3,handfan,,6,2.7089,304,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00305.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_06.jpg
0003-handfan3,handfan,,7,3.1256,351,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0003-handfan3/00352.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0003-handfan3/frame_07.jpg
0004-handfan4,handfan,,0,0.125,13,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0004-handfan4/00014.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0004-handfan4/frame_00.jpg
0004-handfan4,handfan,,1,0.375,40,/data/datasets/pvtt_new/pvtt-evaluation/datasets_new/masks/0004-handfan4/00041.jpg,handfan,/data/liuluyan/sam3/sam3_pvtt_full/frames/0004-handfan4/frame_01.jpg
